id,title,overview,release_date,runtime,genres,production_companies,budget,revenue,popularity,vote_average,vote_count,status,poster_path,backdrop_path
1156593,Culpa tuya,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,2024-12-26,0,"Drama, Romance","Pokeepsie Films, Amazon MGM Studios",0,0,315.641,0.0,0,Post Production,https://image.tmdb.org/t/p/w500/6kYDG8Imfhph2duBYZeYksHgx7L.jpg,https://image.tmdb.org/t/p/w500/cI3nL7CgGmPr0CizCwFHBpDkKyB.jpg
787699,Wonka,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",2023-12-06,117,"Comedy, Family, Fantasy","Warner Bros. Pictures, Village Roadshow Pictures, The Roald Dahl Story Company, Heyday Films, Domain Entertainment",125000000,632302312,314.608,7.1,3536,Released,https://image.tmdb.org/t/p/w500/qhb1qOilapbapxWQn9jtRCMwXJF.jpg,https://image.tmdb.org/t/p/w500/yOm993lsJyPmBodlYjgpPwBjXP9.jpg
1125510,The Platform 2,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.",2024-09-27,100,"Science Fiction, Horror",Basque Films,0,0,313.987,5.6,921,Released,https://image.tmdb.org/t/p/w500/hf94ySIzdP3KwHau9VSWh7b7Qu2.jpg,https://image.tmdb.org/t/p/w500/epQfhIcfqWgrMhRvnxkVm7EeEpE.jpg
1371727,Sing: Thriller,"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films.",2024-10-16,11,"Animation, Family, Comedy",Illumination,0,0,309.146,7.4,116,Released,https://image.tmdb.org/t/p/w500/i77OInTKcrnRlAozFOaB6D5mk15.jpg,https://image.tmdb.org/t/p/w500/m1MifWpNjOU1g8UfIyNSI2dMFZf.jpg
786892,Furiosa: A Mad Max Saga,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",2024-05-22,149,"Action, Science Fiction, Adventure","Warner Bros. Pictures, Kennedy Miller Mitchell, Domain Entertainment",170000000,173775791,303.991,7.5,3524,Released,https://image.tmdb.org/t/p/w500/iADOJ8Zymht2JPMoy3R7xceZprc.jpg,https://image.tmdb.org/t/p/w500/wNAhuOZ3Zf84jCIlrcI6JhgmY5q.jpg
569094,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,140,"Animation, Action, Adventure, Science Fiction","Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment",100000000,690897910,301.999,8.354,7037,Released,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,https://image.tmdb.org/t/p/w500/kVd3a9YeLGkoeR50jGEXM6EqseS.jpg
335983,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",2018-09-28,112,"Science Fiction, Action","Matt Tolmach Productions, Pascal Pictures, Marvel Entertainment, Tencent Pictures, Arad Productions, Columbia Pictures",116000000,856085151,301.84,6.834,16069,Released,https://image.tmdb.org/t/p/w500/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,https://image.tmdb.org/t/p/w500/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg
1234811,Our Little Secret,"After discovering their significant others are siblings, two resentful exes must spend Christmas under one roof — while hiding their romantic history.",2024-11-27,101,"Romance, Comedy, Drama","Capital Arts Entertainment, Good Entertainment",0,0,301.555,6.358,250,Released,https://image.tmdb.org/t/p/w500/7isqmWUryG2xksrw0E75m3vYTFd.jpg,https://image.tmdb.org/t/p/w500/a5OqX7uXb8MI0WB3HbCyA0Wn3gI.jpg
917496,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",2024-09-04,105,"Comedy, Fantasy, Horror","Warner Bros. Pictures, Geffen Pictures, Plan B Entertainment, Tim Burton Productions, Domain Entertainment, Tommy Harper Productions",100000000,451072781,301.459,7.142,1961,Released,https://image.tmdb.org/t/p/w500/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,https://image.tmdb.org/t/p/w500/kF8ljC7Y4p1UsmKBi2LxelZpqw.jpg
259872,Skin. Like. Sun.,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.",2010-02-19,60,Romance,Blue Artichoke Films,0,0,299.557,6.523,22,Released,https://image.tmdb.org/t/p/w500/uCkANtG6ezb7hjRKVudY3PUcbvn.jpg,https://image.tmdb.org/t/p/w500/dzY2ZYyPRbXcw8UOupHK3V5VQYk.jpg
653346,Kingdom of the Planet of the Apes,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",2024-05-08,145,"Science Fiction, Adventure, Action","20th Century Studios, Oddball Entertainment, Jason T. Reed Productions",160000000,397378150,296.47,7.1,3267,Released,https://image.tmdb.org/t/p/w500/gKkl37BQuKTanygYQG1pyYgLVgf.jpg,https://image.tmdb.org/t/p/w500/iHYh4cdO8ylA3W0dUxTDVdyJ5G9.jpg
1355755,An Almost Christmas Story,"A young owl meets a lost little girl in New York City. Together, they try to get home for Christmas.",2024-10-14,24,"Animation, Adventure, Fantasy, Family","Esperanto Filmoj, Titmouse, Maere Studios, Disney Branded Television",0,0,294.025,7.6,28,Released,https://image.tmdb.org/t/p/w500/mQC3nIJ9DQ74t9vFzUjqP8eohgX.jpg,https://image.tmdb.org/t/p/w500/pAJX9KA8fL0ktVVVKNI5GyVfcWZ.jpg
1340602,Las tías,"A mother enters an old home for her autistic daughter's therapy. Unexpectedly, the daughter start speaking but has encountered dark entities from the past seeking payback. The family faces supernatural forces related to the home's history.",2024-08-28,87,Horror,,0,0,293.332,6.8,8,Released,https://image.tmdb.org/t/p/w500/nqheYwq7SyKB5ST7igAia8gqroK.jpg,https://image.tmdb.org/t/p/w500/6A8fEqGNUQ9ZiGcHslZGYzAQNJ7.jpg
